title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
A Day in the Life,Mike Massé,spotify:track:5VbKqNrM0IoGJ9WL9che4V,0.391,0.437,0,-8.956,1,0.0294,0.554,0.0,0.105,0.324,78.603,audio_features,5VbKqNrM0IoGJ9WL9che4V,https://api.spotify.com/v1/tracks/5VbKqNrM0IoGJ9WL9che4V,https://api.spotify.com/v1/audio-analysis/5VbKqNrM0IoGJ9WL9che4V,216700,4
A Day In The Life,The Beatles,spotify:track:4XiDAxr6alWzxm24i2Rt4K,0.322,0.394,4,-12.798,0,0.0335,0.364,0.000282,0.163,0.192,78.513,audio_features,4XiDAxr6alWzxm24i2Rt4K,https://api.spotify.com/v1/tracks/4XiDAxr6alWzxm24i2Rt4K,https://api.spotify.com/v1/audio-analysis/4XiDAxr6alWzxm24i2Rt4K,308192,4
A Day In The Life - Anthology 2 Version,The Beatles,spotify:track:1cDu688MBQUl1b9KSoR7Gz,0.429,0.31,4,-12.843,0,0.0342,0.828,3.12e-05,0.188,0.256,81.35,audio_features,1cDu688MBQUl1b9KSoR7Gz,https://api.spotify.com/v1/tracks/1cDu688MBQUl1b9KSoR7Gz,https://api.spotify.com/v1/audio-analysis/1cDu688MBQUl1b9KSoR7Gz,304573,4
A Day In The Life - Remastered 2009,The Beatles,spotify:track:0hKRSZhUGEhKU6aNSPBACZ,0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,audio_features,0hKRSZhUGEhKU6aNSPBACZ,https://api.spotify.com/v1/tracks/0hKRSZhUGEhKU6aNSPBACZ,https://api.spotify.com/v1/audio-analysis/0hKRSZhUGEhKU6aNSPBACZ,337413,4
A Day In The Life - Remastered 2010,The Beatles,spotify:track:7lQ9vPEIo4caEIctf6bYOi,0.457,0.361,4,-14.52,0,0.0308,0.199,0.000862,0.108,0.265,81.068,audio_features,7lQ9vPEIo4caEIctf6bYOi,https://api.spotify.com/v1/tracks/7lQ9vPEIo4caEIctf6bYOi,https://api.spotify.com/v1/audio-analysis/7lQ9vPEIo4caEIctf6bYOi,307680,4
Day Job - Modern Art Sculpture,SIMON I,spotify:track:57XfgMxWwjWoneLSu4DM7C,0.526,0.63,6,-6.176,1,0.0532,0.00865,0.0559,0.142,0.804,159.977,audio_features,57XfgMxWwjWoneLSu4DM7C,https://api.spotify.com/v1/tracks/57XfgMxWwjWoneLSu4DM7C,https://api.spotify.com/v1/audio-analysis/57XfgMxWwjWoneLSu4DM7C,173386,4
Day One,Hans Zimmer,spotify:track:2H4zwjbv0D0ggDhf0E8j8j,0.132,0.0176,9,-27.762,0,0.0362,0.927,0.964,0.0729,0.0624,95.979,audio_features,2H4zwjbv0D0ggDhf0E8j8j,https://api.spotify.com/v1/tracks/2H4zwjbv0D0ggDhf0E8j8j,https://api.spotify.com/v1/audio-analysis/2H4zwjbv0D0ggDhf0E8j8j,199423,3
Day Tripper - Remastered 2009,The Beatles,spotify:track:7qbRP2jO0Sq3kTYdEW1v00,0.643,0.723,6,-10.628,0,0.0299,0.104,1.23e-06,0.274,0.729,137.698,audio_features,7qbRP2jO0Sq3kTYdEW1v00,https://api.spotify.com/v1/tracks/7qbRP2jO0Sq3kTYdEW1v00,https://api.spotify.com/v1/audio-analysis/7qbRP2jO0Sq3kTYdEW1v00,169147,4
Day Tripper - Remastered 2015,The Beatles,spotify:track:29b2b96jozyD9GPCkOrVLs,0.665,0.782,6,-8.438,0,0.0307,0.12,4.19e-06,0.125,0.731,137.453,audio_features,29b2b96jozyD9GPCkOrVLs,https://api.spotify.com/v1/tracks/29b2b96jozyD9GPCkOrVLs,https://api.spotify.com/v1/audio-analysis/29b2b96jozyD9GPCkOrVLs,169000,4
Daydreamer,Patrick Watson,spotify:track:1rLWBeDnYbYdnPgQUncBOG,0.552,0.529,8,-10.663,1,0.0264,0.622,0.106,0.0938,0.221,90.011,audio_features,1rLWBeDnYbYdnPgQUncBOG,https://api.spotify.com/v1/tracks/1rLWBeDnYbYdnPgQUncBOG,https://api.spotify.com/v1/audio-analysis/1rLWBeDnYbYdnPgQUncBOG,274227,4
Daydreamer,Patrick Watson,spotify:track:5FXinf7lPFyUD1LY3MeOPf,0.549,0.525,5,-10.692,0,0.0262,0.65,0.0558,0.0903,0.206,89.979,audio_features,5FXinf7lPFyUD1LY3MeOPf,https://api.spotify.com/v1/tracks/5FXinf7lPFyUD1LY3MeOPf,https://api.spotify.com/v1/audio-analysis/5FXinf7lPFyUD1LY3MeOPf,274227,4
Daydreaming,Radiohead,spotify:track:1uRxyAup7OYrlh2SHJb80N,0.299,0.263,9,-13.207,0,0.0323,0.968,0.857,0.126,0.113,137.848,audio_features,1uRxyAup7OYrlh2SHJb80N,https://api.spotify.com/v1/tracks/1uRxyAup7OYrlh2SHJb80N,https://api.spotify.com/v1/audio-analysis/1uRxyAup7OYrlh2SHJb80N,384439,3
Daylight,Coldplay,spotify:track:4fP4xTSBli3tKck172LEZ4,0.453,0.571,11,-6.117,1,0.0314,0.00976,0.518,0.0846,0.189,132.787,audio_features,4fP4xTSBli3tKck172LEZ4,https://api.spotify.com/v1/tracks/4fP4xTSBli3tKck172LEZ4,https://api.spotify.com/v1/audio-analysis/4fP4xTSBli3tKck172LEZ4,327800,4
De mort à vivant,Ariane Moffatt,spotify:track:67wGuDH0rqOm38sKBBmj7G,0.584,0.825,0,-7.169,1,0.041,0.205,0.0108,0.516,0.249,116.01,audio_features,67wGuDH0rqOm38sKBBmj7G,https://api.spotify.com/v1/tracks/67wGuDH0rqOm38sKBBmj7G,https://api.spotify.com/v1/audio-analysis/67wGuDH0rqOm38sKBBmj7G,267147,4
Dead End,The Whitest Boy Alive,spotify:track:2bdJGl90x1TNoAQpnK4aLE,0.795,0.852,11,-6.029,0,0.0445,0.169,0.616,0.113,0.947,141.033,audio_features,2bdJGl90x1TNoAQpnK4aLE,https://api.spotify.com/v1/tracks/2bdJGl90x1TNoAQpnK4aLE,https://api.spotify.com/v1/audio-analysis/2bdJGl90x1TNoAQpnK4aLE,202787,4
Dead Flowers - 2009 Mix,The Rolling Stones,spotify:track:3oJtUnnt5uYPtzulIbLw3D,0.54,0.862,2,-4.599,1,0.0284,0.33,1.7e-05,0.156,0.931,130.34,audio_features,3oJtUnnt5uYPtzulIbLw3D,https://api.spotify.com/v1/tracks/3oJtUnnt5uYPtzulIbLw3D,https://api.spotify.com/v1/audio-analysis/3oJtUnnt5uYPtzulIbLw3D,244533,4
